pro,气温,降水,湿度,年末人口数,人均生产总值,HASC
安徽,15.75833333,1453.216667,78.33333333,6144,35997,CH.AH
北京,11.93333333,548.6666667,55.66666667,2171,106497,CH.BJ
福建,19.58571429,1955.717857,80.67857143,3839,67966,CH.FJ
甘肃,8.589655172,261.8931034,52.51724138,2600,26165,CH.GS
广东,22.67837838,1840.967568,79.67567568,10849,67503,CH.GD
广西,21.86538462,2046.888462,80.76923077,4796,35190,CH.GX
贵州,16.37352941,1338.917647,80.55882353,3530,29847,CH.GZ
海南,25.4125,1396.2375,81.75,911,40818,CH.HA
河北,11.26190476,521.052381,59.66666667,7425,40255,CH.HB
河南,14.78,761.84,68.7,9480,39123,CH.HE
黑龙江,3.308108108,556.9621622,67.7027027,3812,39462,CH.HL
湖北,16.68125,1192.803125,76.4375,5852,50654,CH.HU
湖南,17.63333333,1592.583333,81.30555556,6783,42754,CH.HN
吉林,6.051724138,589.637931,65.20689655,2753,51086,CH.JL
江苏,15.65,1288.208333,75.83333333,7976,87995,CH.JS
江西,18.33076923,2211.565385,80.57692308,4566,36724,CH.JX
辽宁,9.387878788,580.5090909,62.63636364,4382,65354,CH.LN
内蒙古,5.254166667,319.0166667,52.08333333,2511,71101,CH.NM
宁夏,9.2,296.5,53.66666667,668,43805,CH.NX
青海,2.825714286,330.4028571,48.42857143,588,41252,CH.QH
山东,13.53913043,619.5130435,66.34782609,9847,64168,CH.SD
山西,10.34285714,453.1964286,58.28571429,3664,34919,CH.SX
陕西,12.33333333,659.4,66.72222222,3793,47626,CH.SA
上海,17,1648.8,74,2415,103796,CH.SH
四川,12.81428571,948.3071429,67.33333333,8204,36775,CH.SC
天津,13.36666667,521.6666667,60,1547,107960,CH.TJ
西藏,4.593103448,381.1172414,46.27586207,324,31999,CH.XZ
新疆,9.092424242,186.3015152,51.46969697,2360,40036,CH.XJ
云南,17.35882353,1134.694118,71.61764706,4742,28806,CH.YN
浙江,17.67826087,1780.46087,79.47826087,5539,77644,CH.ZJ
重庆,18.125,1229.816667,77.33333333,3017,52321,CH.CQ
